movieId,title,genres
5,Father of the Bride Part II,Comedy
9,Sudden Death,Action
14,Nixon,Drama
19,Ace Ventura When Nature Calls,Comedy
26,Othello,Drama
31,Dangerous Minds,Drama
40,"Cry, the Beloved Country",Drama
43,Restoration,Drama
55,Georgia,Drama
65,Bio-Dome,Comedy
67,Two Bits,Drama
71,Fair Game,Action
77,Nico Icon,Documentary
88,Black Sheep,Comedy
90,"Journey of August King, The",Drama
99,Heidi Fleiss Hollywood Madam,Documentary
102,Mr. Wrong,Comedy
104,Happy Gilmore,Comedy
114,Margaret's Museum,Drama
116,Anne Frank Remembered,Documentary
119,"Steal Big, Steal Little",Comedy
121,"Boys of St. Vincent, The",Drama
124,"Star Maker, The (Uomo delle stelle, L')",Drama
125,Flirting With Disaster,Comedy
127,"Silences of the Palace, The (Saimt el Qusur)",Drama
128,Jupiter's Wife,Documentary
130,Angela,Drama
132,Jade,Thriller
134,Sonic Outlaws,Documentary
135,Down Periscope,Comedy
136,From the Journals of Jean Seberg,Documentary
141,"Birdcage, The",Comedy
142,Shadows (Cienie),Drama
144,"Brothers McMullen, The",Comedy
147,"Basketball Diaries, The",Drama
148,"Awfully Big Adventure, An",Drama
154,Beauty of the Day (Belle de jour),Drama
162,Crumb,Documentary
174,Jury Duty,Comedy
176,Living in Oblivion,Comedy
177,Lord of Illusions,Horror
187,Party Girl,Comedy
190,Safe,Thriller
193,Showgirls,Drama
197,"Stars Fell on Henrietta, The",Drama
200,"Tie That Binds, The",Thriller
203,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy
211,"Browning Version, The",Drama
213,Burnt by the Sun (Utomlyonnye solntsem),Drama
216,Billy Madison,Comedy
219,"Cure, The",Drama
220,Castle Freak,Horror
223,Clerks,Comedy
226,Dream Man,Thriller
228,Destiny Turns on the Radio,Comedy
233,Exotica,Drama
234,Exit to Eden,Comedy
240,Hideaway,Thriller
246,Hoop Dreams,Documentary
248,Houseguest,Comedy
251,"Hunted, The",Action
254,Jefferson in Paris,Drama
263,Ladybird Ladybird,Drama
264,"Enfer, L'",Drama
271,Losing Isaiah,Drama
274,Man of the House,Comedy
275,Mixed Nuts,Comedy
277,Miracle on 34th Street,Drama
278,Miami Rhapsody,Comedy
282,Nell,Drama
297,Panther,Drama
298,Pushing Hands (Tui shou),Drama
299,Priest,Drama
305,Ready to Wear (Pret-A-Porter),Comedy
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng)",Drama
310,Rent-a-Kid,Comedy
312,Stuart Saves His Family,Comedy
321,Strawberry and Chocolate (Fresa y chocolate),Drama
325,National Lampoon's Senior Trip,Comedy
331,Tom & Viv,Drama
334,Vanya on 42nd Street,Drama
341,Double Happiness,Drama
344,Ace Ventura Pet Detective,Comedy
348,Bullets Over Broadway,Comedy
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder Leni Riefenstahl, Die)",Documentary
365,Little Buddha,Drama
369,Mrs. Parker and the Vicious Circle,Drama
385,"Man of No Importance, A",Drama
388,Boys Life,Drama
396,Fall Time,Drama
397,"Fear, The",Horror
398,Frank and Ollie,Documentary
399,Girl in the Cadillac,Drama
402,Open Season,Comedy
404,Brother Minister The Assassination of Malcolm X,Documentary
408,8 Seconds,Drama
412,"Age of Innocence, The",Drama
413,Airheads,Comedy
418,Being Human,Drama
419,"Beverly Hillbillies, The",Comedy
424,Blue Chips,Drama
429,Cabin Boy,Comedy
433,Clean Slate,Comedy
437,Cops and Robbersons,Comedy
441,Dazed and Confused,Comedy
448,Fearless,Drama
449,Fear of a Black Hat,Comedy
452,Widows' Peak,Drama
457,"Fugitive, The",Thriller
467,Live Nude Girls,Comedy
471,"Hudsucker Proxy, The",Comedy
475,In the Name of the Father,Drama
483,King of the Hill,Drama
486,Life with Mikey,Comedy
489,Made in America,Comedy
490,Malice,Thriller
491,"Man Without a Face, The",Drama
495,In the Realm of the Senses (Ai no corrida),Drama
505,North,Comedy
508,Philadelphia,Drama
510,Poetic Justice,Drama
514,"Ref, The",Comedy
520,Robin Hood Men in Tights,Comedy
523,Ruby in Paradise,Drama
524,Rudy,Drama
525,"Saint of Fort Washington, The",Drama
526,"Savage Nights (Nuits fauves, Les)",Drama
529,Searching for Bobby Fischer,Drama
530,Second Best,Drama
536,"Simple Twist of Fate, A",Drama
537,Sirens,Drama
540,Sliver,Thriller
559,"Paris, France",Comedy
560,"Beans of Egypt, Maine, The",Drama
564,Chasers,Comedy
572,Foreign Student,Drama
573,"Ciao, Professore! (Io speriamo che me la cavo)",Drama
576,Fausto,Comedy
580,Princess Caraboo,Drama
581,"Celluloid Closet, The",Documentary
585,"Brady Bunch Movie, The",Comedy
601,"Wooden Man's Bride, The (Yan shen)",Drama
602,"Great Day in Harlem, A",Documentary
603,"Bye Bye, Love",Comedy
604,Criminals,Documentary
607,Century,Drama
612,"Pallbearer, The",Comedy
619,Ed,Comedy
620,Scream of Stone (Cerro Torre Schrei aus Stein),Drama
621,My Favorite Season,Drama
625,Asfour Stah,Drama
626,"Thin Line Between Love and Hate, A",Comedy
629,Rude,Drama
634,Theodore Rex,Comedy
637,Sgt. Bilko,Comedy
643,Peanuts - Die Bank zahlt alles,Comedy
645,Nelly & Monsieur Arnaud,Drama
650,Moll Flanders,Drama
655,My Mother's Courage (Mutters Courage),Comedy
656,Eddie,Comedy
662,Fear,Thriller
663,Kids in the Hall Brain Candy,Comedy
664,Faithful,Comedy
668,Song of the Little Road (Pather Panchali),Drama
670,"World of Apu, The (Apur Sansar)",Drama
679,"Run of the Country, The",Drama
683,"Eye of Vichy, The (Oeil de Vichy, L')",Documentary
684,Windows,Drama
685,It's My Party,Drama
693,Under the Domim Tree (Etz Hadomim Tafus),Drama
699,To Cross the Rubicon,Drama
700,Angus,Comedy
701,Daens,Drama
703,Boys,Drama
706,Sunset Park,Drama
710,Celtic Pride,Comedy
717,Mouth to Mouth (Boca a boca),Comedy
719,Multiplicity,Comedy
721,Halfmoon (Paul Bowles - Halbmond),Drama
723,Two Friends,Drama
725,"Great White Hype, The",Comedy
726,Last Dance,Drama
727,War Stories,Documentary
728,Cold Comfort Farm,Comedy
729,"Institute Benjamenta, or This Dream People Call Human Life",Drama
730,Low Life,Drama
735,Cemetery Man (Dellamorte Dellamore),Horror
739,Honey Moon (Honigmond),Comedy
743,Spy Hard,Comedy
744,Brothers in Trouble,Drama
747,"Stupids, The",Comedy
749,"Man from Down Under, The",Drama
756,Carmen Miranda Bananas Is My Business,Documentary
757,Ashes of Time (Dung che sai duk),Drama
758,"Jar, The (Khomreh)",Drama
759,Maya Lin A Strong Clear Vision,Documentary
768,Someone Else's America,Drama
769,Marlene Dietrich Shadow and Light,Documentary
770,Costa Brava,Drama
772,Quartier Mozart,Comedy
773,Touki Bouki,Drama
781,Stealing Beauty,Drama
785,Kingpin,Comedy
787,"Gate of Heavenly Peace, The",Documentary
790,"Unforgettable Summer, An (Un été inoubliable)",Drama
791,"Last Klezmer Leopold Kozlowski, His Life and Music, The",Documentary
793,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud),Drama
795,Somebody to Love,Drama
797,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La)",Comedy
812,Magic Hunter (Büvös vadász),Drama
813,Larger Than Life,Comedy
