movieId,title,year,genres
5,Father of the Bride Part II,(1995),Comedy
9,Sudden Death,(1995),Action
14,Nixon,(1995),Drama
18,Four Rooms,(1995),Comedy
19,Ace Ventura When Nature Calls,(1995),Comedy
26,Othello,(1995),Drama
31,Dangerous Minds,(1995),Drama
40,"Cry, the Beloved Country",(1995),Drama
43,Restoration,(1995),Drama
55,Georgia,(1995),Drama
57,Home for the Holidays,(1995),Drama
62,Mr. Holland's Opus,(1995),Drama
65,Bio-Dome,(1996),Comedy
67,Two Bits,(1995),Drama
69,Friday,(1995),Comedy
71,Fair Game,(1995),Action
77,Nico Icon,(1995),Documentary
88,Black Sheep,(1996),Comedy
90,"Journey of August King, The",(1995),Drama
99,Heidi Fleiss Hollywood Madam,(1995),Documentary
102,Mr. Wrong,(1996),Comedy
104,Happy Gilmore,(1996),Comedy
108,Catwalk,(1996),Documentary
114,Margaret's Museum,(1995),Drama
115,"Happiness Is in the Field (Bonheur est dans le pré, Le)",(1995),Comedy
116,Anne Frank Remembered,(1995),Documentary
119,"Steal Big, Steal Little",(1995),Comedy
121,"Boys of St. Vincent, The",(1992),Drama
124,"Star Maker, The (Uomo delle stelle, L')",(1995),Drama
125,Flirting With Disaster,(1996),Comedy
127,"Silences of the Palace, The (Saimt el Qusur)",(1994),Drama
128,Jupiter's Wife,(1994),Documentary
130,Angela,(1995),Drama
132,Jade,(1995),Thriller
134,Sonic Outlaws,(1995),Documentary
135,Down Periscope,(1996),Comedy
136,From the Journals of Jean Seberg,(1995),Documentary
137,Man of the Year,(1995),Documentary
138,"Neon Bible, The",(1995),Drama
141,"Birdcage, The",(1996),Comedy
142,Shadows (Cienie),(1988),Drama
143,Gospa,(1995),Drama
144,"Brothers McMullen, The",(1995),Comedy
147,"Basketball Diaries, The",(1995),Drama
148,"Awfully Big Adventure, An",(1995),Drama
154,Beauty of the Day (Belle de jour),(1967),Drama
162,Crumb,(1994),Documentary
167,Feast of July,(1995),Drama
174,Jury Duty,(1995),Comedy
175,Kids,(1995),Drama
176,Living in Oblivion,(1995),Comedy
177,Lord of Illusions,(1995),Horror
184,Nadja,(1994),Drama
187,Party Girl,(1995),Comedy
190,Safe,(1995),Thriller
192,"Show, The",(1995),Documentary
193,Showgirls,(1995),Drama
197,"Stars Fell on Henrietta, The",(1995),Drama
200,"Tie That Binds, The",(1995),Thriller
203,"To Wong Foo, Thanks for Everything! Julie Newmar",(1995),Comedy
204,Under Siege 2 Dark Territory,(1995),Action
206,Unzipped,(1995),Documentary
209,White Man's Burden,(1995),Drama
211,"Browning Version, The",(1994),Drama
213,Burnt by the Sun (Utomlyonnye solntsem),(1994),Drama
216,Billy Madison,(1995),Comedy
219,"Cure, The",(1995),Drama
220,Castle Freak,(1995),Horror
223,Clerks,(1994),Comedy
226,Dream Man,(1995),Thriller
228,Destiny Turns on the Radio,(1995),Comedy
233,Exotica,(1994),Drama
234,Exit to Eden,(1994),Comedy
240,Hideaway,(1995),Thriller
246,Hoop Dreams,(1994),Documentary
248,Houseguest,(1994),Comedy
251,"Hunted, The",(1995),Action
254,Jefferson in Paris,(1995),Drama
255,"Jerky Boys, The",(1995),Comedy
261,Little Women,(1994),Drama
263,Ladybird Ladybird,(1994),Drama
264,"Enfer, L'",(1994),Drama
267,Major Payne,(1995),Comedy
269,My Crazy Life (Mi vida loca),(1993),Drama
271,Losing Isaiah,(1995),Drama
274,Man of the House,(1995),Comedy
275,Mixed Nuts,(1994),Comedy
277,Miracle on 34th Street,(1994),Drama
278,Miami Rhapsody,(1995),Comedy
279,My Family,(1995),Drama
282,Nell,(1994),Drama
297,Panther,(1995),Drama
298,Pushing Hands (Tui shou),(1992),Drama
299,Priest,(1994),Drama
300,Quiz Show,(1994),Drama
305,Ready to Wear (Pret-A-Porter),(1994),Comedy
306,Three Colors Red (Trois couleurs Rouge),(1994),Drama
307,Three Colors Blue (Trois couleurs Bleu),(1993),Drama
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng)",(1994),Drama
310,Rent-a-Kid,(1995),Comedy
312,Stuart Saves His Family,(1995),Comedy
321,Strawberry and Chocolate (Fresa y chocolate),(1993),Drama
325,National Lampoon's Senior Trip,(1995),Comedy
326,To Live (Huozhe),(1994),Drama
331,Tom & Viv,(1994),Drama
333,Tommy Boy,(1995),Comedy
334,Vanya on 42nd Street,(1994),Drama
337,What's Eating Gilbert Grape,(1993),Drama
341,Double Happiness,(1994),Drama
342,Muriel's Wedding,(1994),Comedy
344,Ace Ventura Pet Detective,(1994),Comedy
348,Bullets Over Broadway,(1994),Comedy
354,Cobb,(1994),Drama
358,Higher Learning,(1995),Drama
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder Leni Riefenstahl, Die)",(1993),Documentary
365,Little Buddha,(1993),Drama
369,Mrs. Parker and the Vicious Circle,(1994),Drama
373,Red Rock West,(1992),Thriller
375,Safe Passage,(1994),Drama
385,"Man of No Importance, A",(1994),Drama
386,S.F.W.,(1994),Drama
388,Boys Life,(1995),Drama
394,Coldblooded,(1995),Comedy
396,Fall Time,(1995),Drama
397,"Fear, The",(1995),Horror
398,Frank and Ollie,(1995),Documentary
399,Girl in the Cadillac,(1995),Drama
400,Homage,(1995),Drama
402,Open Season,(1996),Comedy
404,Brother Minister The Assassination of Malcolm X,(1994),Documentary
406,Federal Hill,(1994),Drama
408,8 Seconds,(1994),Drama
412,"Age of Innocence, The",(1993),Drama
413,Airheads,(1994),Comedy
414,"Air Up There, The",(1994),Comedy
418,Being Human,(1993),Drama
419,"Beverly Hillbillies, The",(1993),Comedy
422,Blink,(1994),Thriller
424,Blue Chips,(1994),Drama
428,"Bronx Tale, A",(1993),Drama
429,Cabin Boy,(1994),Comedy
433,Clean Slate,(1994),Comedy
437,Cops and Robbersons,(1994),Comedy
439,Dangerous Game,(1993),Drama
441,Dazed and Confused,(1993),Comedy
445,Fatal Instinct,(1993),Comedy
448,Fearless,(1993),Drama
449,Fear of a Black Hat,(1994),Comedy
452,Widows' Peak,(1994),Drama
457,"Fugitive, The",(1993),Thriller
460,Getting Even with Dad,(1994),Comedy
467,Live Nude Girls,(1995),Comedy
470,House Party 3,(1994),Comedy
471,"Hudsucker Proxy, The",(1994),Comedy
475,In the Name of the Father,(1993),Drama
483,King of the Hill,(1993),Drama
486,Life with Mikey,(1993),Comedy
489,Made in America,(1993),Comedy
490,Malice,(1993),Thriller
491,"Man Without a Face, The",(1993),Drama
495,In the Realm of the Senses (Ai no corrida),(1976),Drama
501,Naked,(1993),Drama
503,"New Age, The",(1994),Drama
505,North,(1994),Comedy
508,Philadelphia,(1993),Drama
510,Poetic Justice,(1993),Drama
514,"Ref, The",(1994),Comedy
518,"Road to Wellville, The",(1994),Comedy
520,Robin Hood Men in Tights,(1993),Comedy
523,Ruby in Paradise,(1993),Drama
524,Rudy,(1993),Drama
525,"Saint of Fort Washington, The",(1993),Drama
526,"Savage Nights (Nuits fauves, Les)",(1992),Drama
529,Searching for Bobby Fischer,(1993),Drama
530,Second Best,(1994),Drama
535,Short Cuts,(1993),Drama
536,"Simple Twist of Fate, A",(1994),Drama
537,Sirens,(1994),Drama
538,Six Degrees of Separation,(1993),Drama
540,Sliver,(1993),Thriller
545,Harem,(1985),Drama
556,"War Room, The",(1993),Documentary
559,"Paris, France",(1993),Comedy
560,"Beans of Egypt, Maine, The",(1994),Drama
564,Chasers,(1994),Comedy
572,Foreign Student,(1994),Drama
573,"Ciao, Professore! (Io speriamo che me la cavo)",(1992),Drama
576,Fausto,(1993),Comedy
580,Princess Caraboo,(1994),Drama
581,"Celluloid Closet, The",(1995),Documentary
585,"Brady Bunch Movie, The",(1995),Comedy
601,"Wooden Man's Bride, The (Yan shen)",(1994),Drama
602,"Great Day in Harlem, A",(1994),Documentary
603,"Bye Bye, Love",(1995),Comedy
604,Criminals,(1996),Documentary
607,Century,(1993),Drama
612,"Pallbearer, The",(1996),Comedy
619,Ed,(1996),Comedy
620,Scream of Stone (Cerro Torre Schrei aus Stein),(1991),Drama
621,My Favorite Season,(1993),Drama
625,Asfour Stah,(1990),Drama
626,"Thin Line Between Love and Hate, A",(1996),Comedy
629,Rude,(1995),Drama
633,Denise Calls Up,(1995),Comedy
634,Theodore Rex,(1995),Comedy
636,Frisk,(1995),Drama
637,Sgt. Bilko,(1996),Comedy
642,Roula,(1995),Drama
643,Peanuts - Die Bank zahlt alles,(1996),Comedy
644,Happy Weekend,(1996),Comedy
645,Nelly & Monsieur Arnaud,(1995),Drama
650,Moll Flanders,(1996),Drama
651,"Superweib, Das",(1996),Comedy
655,My Mother's Courage (Mutters Courage),(1995),Comedy
656,Eddie,(1996),Comedy
660,August,(1996),Drama
662,Fear,(1996),Thriller
663,Kids in the Hall Brain Candy,(1996),Comedy
664,Faithful,(1996),Comedy
667,Bloodsport 2 (a.k.a. Bloodsport II The Next Kumite),(1996),Action
668,Song of the Little Road (Pather Panchali),(1955),Drama
670,"World of Apu, The (Apur Sansar)",(1959),Drama
672,Tarantella,(1995),Drama
679,"Run of the Country, The",(1995),Drama
683,"Eye of Vichy, The (Oeil de Vichy, L')",(1993),Documentary
684,Windows,(1980),Drama
685,It's My Party,(1996),Drama
693,Under the Domim Tree (Etz Hadomim Tafus),(1994),Drama
698,Delta of Venus,(1995),Drama
699,To Cross the Rubicon,(1991),Drama
700,Angus,(1995),Comedy
701,Daens,(1992),Drama
702,Faces,(1968),Drama
703,Boys,(1996),Drama
705,Cosi,(1996),Comedy
706,Sunset Park,(1996),Drama
710,Celtic Pride,(1996),Comedy
713,Of Love and Shadows,(1994),Drama
717,Mouth to Mouth (Boca a boca),(1995),Comedy
719,Multiplicity,(1996),Comedy
721,Halfmoon (Paul Bowles - Halbmond),(1995),Drama
722,"Haunted World of Edward D. Wood Jr., The",(1996),Documentary
723,Two Friends,(1986),Drama
725,"Great White Hype, The",(1996),Comedy
726,Last Dance,(1996),Drama
727,War Stories,(1995),Documentary
728,Cold Comfort Farm,(1995),Comedy
729,"Institute Benjamenta, or This Dream People Call Human Life",(1995),Drama
730,Low Life,(1994),Drama
734,Getting Away With Murder,(1996),Comedy
735,Cemetery Man (Dellamorte Dellamore),(1994),Horror
738,"Garçu, Le",(1995),Drama
739,Honey Moon (Honigmond),(1996),Comedy
743,Spy Hard,(1996),Comedy
744,Brothers in Trouble,(1995),Drama
747,"Stupids, The",(1996),Comedy
749,"Man from Down Under, The",(1943),Drama
756,Carmen Miranda Bananas Is My Business,(1994),Documentary
757,Ashes of Time (Dung che sai duk),(1994),Drama
758,"Jar, The (Khomreh)",(1992),Drama
759,Maya Lin A Strong Clear Vision,(1994),Documentary
766,I Shot Andy Warhol,(1996),Drama
768,Someone Else's America,(1995),Drama
769,Marlene Dietrich Shadow and Light,(1996),Documentary
770,Costa Brava,(1946),Drama
772,Quartier Mozart,(1992),Comedy
773,Touki Bouki,(1973),Drama
774,Wend Kuuni (a.k.a. God's Gift),(1982),Drama
781,Stealing Beauty,(1996),Drama
785,Kingpin,(1996),Comedy
787,"Gate of Heavenly Peace, The",(1995),Documentary
789,"I, the Worst of All (Yo, la peor de todas)",(1990),Drama
790,"Unforgettable Summer, An (Un été inoubliable)",(1994),Drama
791,"Last Klezmer Leopold Kozlowski, His Life and Music, The",(1994),Documentary
793,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud),(1993),Drama
795,Somebody to Love,(1994),Drama
796,"Very Natural Thing, A",(1974),Drama
797,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La)",(1991),Comedy
812,Magic Hunter (Büvös vadász),(1994),Drama
813,Larger Than Life,(1996),Comedy
814,"Boy Called Hate, A",(1995),Drama
816,Two Deaths,(1995),Drama
818,"Very Brady Sequel, A",(1996),Comedy
820,"Death in the Garden (Mort en ce jardin, La)",(1956),Drama
823,"Collector, The (La collectionneuse)",(1967),Drama
826,Women Robbers (Diebinnen),(1995),Drama
827,"Convent, The (O Convento)",(1995),Drama
830,"First Wives Club, The",(1996),Comedy
831,Stonewall,(1995),Drama
833,High School High,(1996),Comedy
834,Phat Beach,(1996),Comedy
835,Foxfire,(1996),Drama
841,"Eyes Without a Face (Yeux sans visage, Les)",(1959),Horror
843,Lotto Land,(1995),Drama
844,"Story of Xinghua, The (Xinghua san yue tian)",(1994),Drama
845,"Day the Sun Turned Cold, The (Tianguo niezi)",(1994),Drama
846,Flirt,(1995),Drama
848,"Spitfire Grill, The",(1996),Drama
851,Basquiat,(1996),Drama
